Name,Rating,Reviews,Type,Address,Link,Latitude,Longitude,Distance_meters,data_id,place_id
E-Fill Charging Station,,,Electric vehicle charging station,"Plot 78, Rd Number 2, Sector-1, S New Panvel (Ea, Panvel, Navi Mumbai, Maharashtra 410206, India",,18.997056,73.117936,1064.09,0x3be7e843e7f6521f:0x323b588fb0d03aac,ChIJH1L250Po5zsRrDrQsI9YOzI
Kazam Charging Station,3.7,7,Electric vehicle charging station,"242Q+H43, Matoshri Nagar Cooperative Housing Society, Sukapur, Panvel, Navi Mumbai, Shilottar Raichur, Maharashtra 410206, India",,19.0013947,73.1378095,1983.38,0x3be7e9b4915064e1:0x7bb4b2d731ef2730,ChIJ4WRQkbTp5zsRMCfvMdeytHs
Tata Power Charging Station,3.3,9,Electric vehicle charging station,"X4J8+M6X, MCCH Society, Panvel, Navi Mumbai, Maharashtra 410206, India",,18.9817438,73.11562339999999,1213.14,0x3be7e99235cbfb83:0x1858482376eec5d1,ChIJg_vLNZLp5zsR0cXudiNIWBg
Jio-bp Pulse,4,6,Electric vehicle charging station,"Pravin Smruti, Subhash Nagar, Vishrali Naka, Old Panvel, Panvel, Navi Mumbai, Maharashtra 410206, India",,18.9816863,73.1158238,1202.6,0x3be7e9f3a52512ad:0x670da71db3d241c7,ChIJrRIlpfPp5zsRx0HSsx2nDWc
Ather Charging Station,4.1,10,Electric vehicle charging station,"Near to Orion Mall/ New Panvel Bridge, HOTEL REDWINGS CASTLE, Old, Mumbai - Pune Hwy, Mumbai, Maharashtra 410206, India",,18.994657699999998,73.1151586,1094.37,0x3be7e945593d857f:0xed586ff2a6e2cf5f,ChIJf4U9WUXp5zsRX8_ipvJvWO0
Ola Hypercharger,3.1,93,Electric vehicle charging station,"Forest Colony, Panvel, Navi Mumbai, Maharashtra 410206, India",,18.994032,73.1156113,1017.22,0x3be7e90d876205d7:0x7206943bc4e0df73,ChIJ1wVihw3p5zsRc9_gxDuUBnI
Bolt.Earth Charging Station,,,Electric vehicle charging station,"No. 7, Jay Collection, Jasdanwala Estate, Mahatma Gandhi Rd, opp. Bharat Petrol Pump, Old Panvel, Panvel, Navi Mumbai, Maharashtra 410206, India",,18.980955899999998,73.1147574,1339.5,0x3be7e91eaaf06345:0xda3162e21282386,ChIJRWPwqh7p5zsRhiMoIS4Wow0
Ather Grid Charging Station,4.5,4,Electric vehicle charging station,"X4X5+PQ9, Simran Motors, opp. Garden Hotel, next to Maruti Suzuki ARENA, Sector 15, Khanda Colony, Panvel, Mumbai, Navi Mumbai, Maharashtra 410206, India",,18.999292,73.10947,1879.37,0x3be7e838e9835ca1:0xff8cb95cba589bbc,ChIJoVyD6Tjo5zsRvJtYuly5jP8
Ather Grid Charging Station,3.5,2,Electric vehicle charging station,"X4X7+56M, Panvel Industrial Co-Op Estate Rd, Ltd, Panvel, Navi Mumbai, Mumbai, Maharashtra 410206, India",,18.99796,73.1130407,1492.23,0x3be7e847352374bf:0xffe158c54eca4095,ChIJv3QjNUfo5zsRlUDKTsVY4f8
Levicon EV Charging Station,5,2,Electric vehicle charging station,"X4X5+7R3, Nityanand Nagar, HOC Colony, Panvel, Navi Mumbai, Maharashtra 410206, India",,18.998143,73.10956089999999,1799.02,0x3be7c3006c5b4bad:0xd8ce1d82e3c0a47e,ChIJrUtbbADD5zsRfqTA44Idztg
Electric Vehicle Charging Station,,,Electric vehicle charging station,"X4R6+37V, Old Panvel, Panvel, Navi Mumbai, Maharashtra 410206, India",,18.990228,73.110663,1396.62,0x3be7e90038aad791:0xea6958a1f8f465e4,ChIJkdeqOADp5zsR5GX0-KFYaeo
Bolt.Earth - Electric Vehicle Charging Station,,,Electric vehicle charging station,"Plot 41, Hari Madhur Milan, No. 23, near D Mart, Sector 5, New Panvel East, Navi Mumbai, Maharashtra 410206, India",,19.0043747,73.1166188,1839.97,0x3be7e937082cecf3:0x15ef371e7a0942ae,ChIJ8-wsCDfp5zsRrkIJeh437xU
Bolt.Earth Charging Station,,,Electric vehicle charging station,"No. 7, Vandan enterprises sales and service, Sai Shraddha Complex, Sector 17, Khanda Colony, Panvel, Navi Mumbai, Maharashtra 410206, India",,19.0063437,73.1064239,2637.91,0x3be7e9e77b7cb5cd:0x110792bd36b3ee10,ChIJzbV8e-fp5zsREO6zNr2SBxE
