Source URL,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19
https://e-amrit.niti.gov.in/home,"""The world is now in the middle of a new mobility
                                        revolution.""- Shri Narendra ModiHon'ble Prime Minister of IndiaI want to..Buy an
                                            electric vehicleStart
                                            an
                                            electric vehicle businessCalculate
                                            electric vehicle benefitsFind charging
                                            stationsLearn
                                            more
                                            about benefits","""India is on the verge of leading one of the most exciting
                                        transformations in the history of transportation.""- Dr Rajiv KumarVice Chairman, NITI Aayog","""The shift to electric mobility is inevitable. ""- Shri Amitabh KantCEO, NITI Aayog","Electric Vehicles are simpleDriving and maintaining your electric vehicle is a
                                        breeze. With no
                                        gears, spark plugs and fuel tanks, electric vehicles truly redefine convenience.
                                        What's more?
                                        electric vehicles are as simple to charge as your mobile phone. You can plug-in
                                        at café while
                                        sipping coffee, at office during work or at home while you sleep.","Electric Vehicles are safeAre thoughts of fire-risks from flammable batteries
                                        doing rounds in your mind? Breathe a sigh of relief. The frequency and severity
                                        of fires from electric vehicles are comparable or slightly lesser than
                                        conventional vehicles.
                                        Only about 0.006% of electric vehicles have caught fire compared to 0.07% of
                                        internal combustion engine vehicles as
                                        per 2018 data of NFPA, U.S. Besides, more scientific research to discover lesser
                                        flammable materials is already underway.","Electric Vehicles can handle your daily travel needsA fully charged pure electric vehicle is all that you
                                        need for your
                                        household's typical daily uses. Why? Unlike conventional vehicles, electric
                                        vehicles can be
                                        recharged on a top-up basis. Moreover, most electric vehicles can go up to 60 to
                                        110 km on a
                                        single charge, which is well beyond the average distance travelled by commuters
                                        per day.","Electric Vehicles are for allDiversity and inclusion are fundamental to electric
                                        vehicle
                                        revolution. E-mobility strives for a welcoming and equitable environment by
                                        supporting the presence, ideas and contribution of a diverse set of people.
                                        Women constitute an increasing proportion of the value chain.","Electric Vehicles are cost-effectiveElectric vehicles are more affordable to buy, own and
                                        operate than
                                        ever before. Electric two-wheelers and electric three-wheelers are already
                                        cost-competitive. Electric four-wheelers are economically
                                        viable for commercial fleet operations. A typical fleet car travels about 190 km
                                        per day, while the breakeven distance for an average electric sedan is just 164
                                        km per day. Besides the already rock-bottom running costs, the upfront costs are
                                        set to decline a lot more with falling battery prices in the future.","Electric Vehicle charging is accessible and convenientYou won't have to wait too long to charge your electric
                                        vehicles. Electric vehicle
                                        charging has sped up by 5 times since the previous few years. Fast charging is
                                        on its way to become mainstream. What’s more? As the Indian Power Ministry has
                                        set targets to include atleast one public charging station in every 3km x 3km
                                        grid in the urban areas, electric vehicle charging is assured to be within easy
                                        reach for you.",,,,,,,,,,
https://e-amrit.niti.gov.in/home,"Buy an
                                            electric vehicle","Start
                                            an
                                            electric vehicle business","Calculate
                                            electric vehicle benefits","Find charging
                                            stations","Learn
                                            more
                                            about benefits",,,,,,,,,,,,,,
https://e-amrit.niti.gov.in/home,"OCTOBER 4, 2021Indian manufacturers developing more electric
                                vehicles in
                                IndiaRead More","OCTOBER 6, 2021Global two-wheeler brands plan EV plunge in
                                IndiaRead More","OCTOBER 7, 2021New report urges India to adopt electric
                                vehicle roamingRead More","OCTOBER 12, 2021Electric Vehicles in India: Businesses Seek
                                Government
                                Support to Meet 2030
                                TargetRead More","JANUARY 15, 2022Revised consolidated Guidelines & Standards for EV charging infrastructure promulgated by Ministry of Power.Read More",,,,,,,,,,,,,,
https://e-amrit.niti.gov.in/home,"7,59,182Electric Vehicles have been registered till today",25+States have notified or drafted state Electric Vehicle policies,380Electric Vehicle manufacturers operate in India,1800Electric Vehicle Charging Stations have already been installed,133%Growth occurred in Electric Vehicle sales from FY15 to FY20,2656.62Kilotonnes of carbon dioxide emissions have been reduced,1.32%Of all vehicle sales in FY21-22 were electric,,,,,,,,,,,,
https://e-amrit.niti.gov.in/home,"Choose Your Electric vehicleFind the electric vehicle that is right for you, using
                                our two, three and four wheel vehicle
                                selector.Read
                                More","Choose Your Home ChargerFind a home charger to make your electric vehicle
                                journeys more convenient.Read More","Journey Cost CalculatorCalculate the cost of the usual journeys you make in your
                                car or on your bike, and see how
                                much you can save by switching to electric.Read More","Public ChargingFind public charging stations in India.Read
                                More",,,,,,,,,,,,,,,
https://e-amrit.niti.gov.in/home,"NITI Aayog@NITI AayogIndia today launched ‘E-Amrit’, a web portal on
                                    #EVs, at the ongoing#COP26Summit.A
                                    one-stop destination for all information on electric vehicles - busting myths around
                                    the adoption of EVs, their purchase, investment opportunities, policies, etc.pib.gov.in/PressReleseDetailm.aspx?PRID=1770670...10 Nov 2021","NITI Aayog@NITI Aayog#NITIAayoglaunches#ElectricVehicleAwareness Web Portal called 'e-AMRIT' at#COP26.
                                    The web portal on “Accelerating e-Mobility Revolution for India’s Transportation” is
                                    developed in collaboration with@ukinindia#COP26Glasgow10 Nov 2021","NITI Aayog@NITI AayogThe web portal is an endeavor to create#awarenessabout#ElectricMobilityin 🇮🇳. By providing the users with access to info, #eAMRIT assists users in their
                                    journey to own an electric vehicle or set up their own electric vehicle or
                                    associated enterprise.10 Nov 2021","NITI Aayog@NITI AayogThe web portal is an endeavor to create#awarenessabout#ElectricMobilityin 🇮🇳. By providing the users with access to info,#eAMRITassists users in their journey to own an electric vehicle or set up
                                    their own electric vehicle or associated enterprise.10 Nov 2021",,,,,,,,,,,,,,,
https://e-amrit.niti.gov.in/home,EESL Dashboard,Ministry of Power,Niti Aayog,Vahan Sewa Dashboard,"Ministry of Road Transport
                        & Highways",FAME-II,EESL Dashboard,Ministry of Power,Niti Aayog,Vahan Sewa Dashboard,"Ministry of Road Transport
                        & Highways",FAME-II,EESL Dashboard,Ministry of Power,Niti Aayog,Vahan Sewa Dashboard,,,
https://e-amrit.niti.gov.in/home,A Joint Initiative By,Website Framework Development and Design Supported By,Assisted By PricewaterhouseCoopers India and CENEX UK,Are you interested to become a part of India’s electric vehicle community?Join Us,,,,,,,,,,,,,,,
https://e-amrit.niti.gov.in/home,Important LinksHomeAbout the PortalGoing ElectricE-Mobility Businesses,ToolsCharging MapResourcesWebsite Policies,HelpDisclaimerPrivacy PolicyAccessibility Statement,Contact Usmobility-niti[at]nic[dot]inVisitors CountTotal Visitors123862,,,,,,,,,,,,,,,
https://e-amrit.niti.gov.in/home,Home,About the Portal,Going Electric,E-Mobility Businesses,,,,,,,,,,,,,,,
