url,title,date,content
https://www.team-bhp.com//news/kawasaki-z900-offered-discount-rs-40000,"Kawasaki Z900 offered with a discount of Rs 40,000",No date,No content
https://www.team-bhp.com//news/renaults-horse-designs-powertrain-turn-evs-hybrids,Renault's 'Horse' designs powertrain to turn EVs into hybrids,No date,No content
https://www.team-bhp.com//news/kawasaki-ninja-zx-10r-offered-rs-30000-discount,"Kawasaki Ninja ZX-10R offered with Rs 30,000 discount",No date,No content
https://www.team-bhp.com//news/porsche-macan-s-gts-petrol-variants-discontinued-india,"Porsche Macan S, GTS petrol variants discontinued in India",No date,No content
https://www.team-bhp.com//news/ultraviolette-partners-motomondo-enter-uk-market,Ultraviolette partners with MotoMondo to enter the UK market,No date,No content
https://www.team-bhp.com//news/skoda-india-pauses-plans-import-diesel-cars-evs,Skoda India pauses plans to import diesel cars & EVs,No date,No content
https://www.team-bhp.com//news/2025-tvs-apache-rr-310-launched-rs-278-lakh,2025 TVS Apache RR 310 launched at Rs 2.78 lakh,No date,No content
https://www.team-bhp.com//news/tesla-speeding-odometers-avoid-warranty-repairs-claim,Tesla speeding up odometers to avoid warranty repairs: Claim,No date,No content
https://www.team-bhp.com//news/no-ban-petrol-2-wheelers-delhi-2026-govt-clarifies,"No ban on petrol 2-wheelers in Delhi from 2026, govt. clarifies",No date,No content
https://www.team-bhp.com//news/how-do-i-enjoy-riding-my-40s,How do I enjoy riding in my 40s?,No date,No content
https://www.team-bhp.com//news/update-bunch-mods-i-did-my-bmw-328i-last-year,An update on the bunch of mods I did on my BMW 328i last year,No date,No content
https://www.team-bhp.com//news/second-gen-ktm-390-duke-owner-test-rides-2025-390-adventure-x,Second-gen KTM 390 Duke owner test rides the 2025 390 Adventure X,No date,No content
https://www.team-bhp.com//news/easter-jeep-safaris-look-concepts-showcased-over-years,Easter Jeep Safaris: A look at concepts showcased over the years,No date,No content
https://www.team-bhp.com//news/no-complaints-my-bmw-330i-after-43000-km-5-year-service-update,"No complaints with my BMW 330i after 43,000 km: 5-year service update",No date,No content
https://www.team-bhp.com//news/my-civic-gets-comprehensive-audio-upgrade-new-hu-speakers-more,"My Civic gets a comprehensive audio upgrade: New HU, speakers & more!",No date,No content
https://www.team-bhp.com//news/how-senior-citizen-chose-honda-elevate-10-day-review,How a senior citizen chose the Honda Elevate: A 10-day review,No date,No content
https://www.team-bhp.com//news/shillong-lungwa-nagaland-fortuner-epic-1500-km-roadtrip,"Shillong to Lungwa, Nagaland in a Fortuner: An epic 1,500 km roadtrip",No date,No content
https://www.team-bhp.com//news/buying-used-luxury-car-smart-tips-minimise-risk-and-maximise-joy,Buying a used luxury car? Smart tips to minimise risk and maximise joy,No date,No content
