Name,Rating,Reviews,Amenities,Address,Google Maps Link,Lat,Lng
GLIDA Charging Station,,,Electric vehicle charging station,"XCH2+67, Hotel tokas, Japanese Zone, NH-8, Neemrana, Rajasthan 301705, India",,27.96598624,76.38014493
ECOPLUG Charging Station,,,Electric vehicle charging station,"NH 8- Village- Dooghera, Behror, Alwar, Rajasthan 301701, India",,27.96598624,76.38014493
Hyundai Charging Station,5,1,Electric vehicle charging station,"Hyundai EV Charging Station, Hotel Highway King, Neemrana, Mohalariyan, Rajasthan 301020, India",,27.96598624,76.38014493
Electric Vehicle Charging Station,4.2,14,Electric vehicle charging station,"Bus Stand, National Highway 8, Shahjahanpur, Bani Jonaycha, Rajasthan 301706, India",,27.96598624,76.38014493
Statiq Charging Station,,,Electric vehicle charging station,"Highway King Behror, NH 8,3 Kms from Behror t Bahror, Rajasthan 301701, India",,27.96598624,76.38014493
ECOPLUG Charging Station,,,Electric vehicle charging station,"Dawat Midway, Behror, NH 48, Hamjapur, Rajasthan 301709, Alwar, Rajasthan 301701, India",,27.96598624,76.38014493
ChargeZone Charging Station,4.3,23,Electric vehicle charging station,"Hotel Highway Xpress, NH-8, Behror, Goonti, Rajasthan 301701, India",,27.96598624,76.38014493
Glida Charging Station,,,Electric vehicle charging station,"2GQ6+V25, Delhi - Ajmer Expy, Mohanpur, Haryana 123501, India",,27.96598624,76.38014493
Electric Vehicle Charging Station,,,Electric vehicle charging station,"State Highway 15, Mohanpur, Haryana 123501, India",,27.96598624,76.38014493
Electric Vehicle Charging Station,4.8,5,Electric vehicle charging station,"Hotel Shemron, Neemrana, Hotel Shemron, NH-8, M-1, RIICO Industrial Area, Shahjahanpur, Chaubara, Rajasthan 301706, India",,27.96598624,76.38014493
Statiq Charging Station,3.7,3,Electric vehicle charging station,"4JGQ+746, Hans Resort, Rewari, Deodhai, Haryana 123401, India",,27.96598624,76.38014493
BPCL Charging Station,,,Electric vehicle charging station,"2GQ4+39J, ON NH08, Delhi - Jaipur Expy, Jaisinghpur Khera, Rewari, Haryana 123501, India",,27.96598624,76.38014493
Statiq Charging Station,5,4,Electric vehicle charging station,"289, Bawal-Rewari Rd, Model Town, Rewari, Haryana 123401, India",,27.96598624,76.38014493
BPCL Charging Station,3.5,2,Electric vehicle charging station,"V46C+M8, Kataria, Haryana 123023, India",,27.96598624,76.38014493
ECOPLUG Charging Station,,,Electric vehicle charging station,"VGM7+732, m r pipe factory, Ulaheri, Khairthal, Rajasthan 301407, India",,27.96598624,76.38014493
Statiq Charging Station,3.9,10,Electric vehicle charging station,"Indian Oil Petrol Pump, Jonawas, Delhi Road, next to Euro International School, Rewari, Haryana 122502, India",,27.96598624,76.38014493
GLIDA Charging Station,1,1,Electric vehicle charging station,"Hotel Prembhog Prembhog Hotel, NH 8, Delhi - Jaipur Expy, near Kasola Chowk, Rewari, Haryana 123401, India",,27.96598624,76.38014493
BPCL Charging Station,,,Electric vehicle charging station,"3HJ9+7W2, Rewari, Harchandpur, Haryana 123401, India",,27.96598624,76.38014493
ECOPLUG Charging Station,5,1,Electric vehicle charging station,"5CFR+V7, NH 11, Pali, Haryana 123102, India",,27.96598624,76.38014493
Statiq Charging Station,3.8,4,Electric vehicle charging station,"5RW6+GR, Ashiana Aangan Plaza, Bhiwadi, Rajasthan 301019, India",,27.96598624,76.38014493
Xobolt Charging Station,4,20,Electric vehicle charging station,"Nahargarh Biological Park, Delhi - Jaipur Expy, Kunda, Sisiyawas, Rajasthan 302028, India",,27.001655,75.87600311
Statiq Charging Station,,,Electric vehicle charging station,"Khasra No. 66, Entrance Gate, near Kukas, Natat, Jaipur, Amer Chak No.2, Rajasthan 302028, India",,27.001655,75.87600311
Statiq Charging Station,,,Electric vehicle charging station,"Left Side of the Main Entrance, 935, Del, Kukas, Jaipur, Rajasthan 302028, India",,27.001655,75.87600311
GLS Charging Station,5,31,Electric vehicle charging station,"PN-60-61, Near Mahalaxmi Motors(TATA Motors Workshop), NH-48, Delhi-Jaipur-Ajmer Expy, Akhepura, Bishangarh, Jaipur, Rajasthan 303805, India",,27.001655,75.87600311
BMW Charging Station,,,Electric vehicle charging station,"Pilli Ki Talai, Delhi - Jaipur Expy, Kunda, Amer, Jaipur, Rajasthan 302028, India",,27.001655,75.87600311
BMW Charging Station,,,Electric vehicle charging station,"Khasara no. 2060, 2061/2267, Amer, Jaipur, Kukas, Rajasthan 302028, India",,27.001655,75.87600311
Xobolt Charging Station,4.8,16,Electric vehicle charging station,"Subash Nagar, Shastri Nagar, Jaipur, Rajasthan 302016, India",,27.001655,75.87600311
Statiq Charging Station,1,1,Electric vehicle charging station,"Grand Geejgarh, 42, behind Hotel Premises, Haw, Jaipur, Rajasthan 302006, India",,27.001655,75.87600311
Statiq Charging Station,,,Electric vehicle charging station,"F-1, Amrapali Marg, Block C, Vaishali Nagar, Jaipur, Rajasthan 302021, India",,27.001655,75.87600311
Electric Vehicle Charging Station,,,Electric vehicle charging station,"FRONT OF PLOT NO.67, ROYAL CITY, near HOTEL LEELA PALACE, Kukas, Jaipur, Rajasthan 302028, India",,27.001655,75.87600311
Tata Power Charging Station,4,4,Electric vehicle charging station,"3Q82+VFF, Eden Garden Rd, Rajawas, Rajasthan 303704, India",,27.001655,75.87600311
Xobolt Charging Station,,,Electric vehicle charging station,"Shop No.111,112, A Block, Kardhani Yojna, Kalwar Rd, Govindpura, Jaipur, Rajasthan 302012, India",,27.001655,75.87600311
BMW Destination Charging Station,,,Electric vehicle charging station,"69, Sansar Chandra Rd, Shri Ram Colony, Sindhi Camp, Jaipur, Rajasthan 302001, India",,27.001655,75.87600311
Kazam Charging Station,5,1,Electric vehicle charging station,"XQ88+3CR, Sindhu Nagar, Bhawani Nagar, Jaipur, Rajasthan 302039, India",,27.001655,75.87600311
Statiq Charging Station,,,Electric vehicle charging station,"Exit gate of the hotel, ITC RAJPUTANA, Palace, Jaipur, Rajasthan 302006, India",,27.001655,75.87600311
Adani Charging Station,,,Electric vehicle charging station,"NEW KING’S HAVELI, OPPOSITE ANGEL RESORT , MAIN SIKAR ROAD, RAJAWAS, JAIPUR RAJASTHAN PIN 302013, Jaipur, Rajasthan 302013, India",,27.001655,75.87600311
Ather Grid Charging Station,5,1,Electric vehicle charging station,"PN-60-61, Near Mahalaxmi Motors(TATA Workshop), NH-48, Delhi-Jaipur-Ajmer, Expy, Akhepura, Bishangarh, jaipur, Rajasthan 303805, India",,27.001655,75.87600311
Ather Charging Station,5,2,Electric vehicle charging station,"WR87+X5P, Mirza Ismail Rd, Jayanti Market, New Colony, Jaipur, Rajasthan 302001, India",,27.001655,75.87600311
Electric Vehicle Charging Station,,,Electric vehicle charging station,"Subash Nagar Shopping Centre, A 108, Subash Nagar, Shastri Nagar, Jaipur, Rajasthan 302016, India",,27.001655,75.87600311
Ather Charging Station,5,1,Electric vehicle charging station,"A, 16C, Shiv Park, Ambabari, Vidyadhar Nagar, Jaipur, Rajasthan 302039, India",,27.001655,75.87600311
