Title,Address,Rating
GLIDA Charging Station,"XJC2+46, Audi, UB Plaza, No 1 & 2, Vittal Mallya Rd, Bengaluru, Karnataka 560001, India",1
Evnnovator Charging Station,"107, Kasturba Rd, opp. Venkatappa Art Gallery, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",N/A
GLIDA Charging Station,"XJF4+2Q2, Forum Rexwalk Mall, Brigade Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",1
Statiq Charging Station,"No. 47/1, Manipal Center, Dickenson Rd, Yellappa Garden, M.G, Sivanchetti Gardens, Bengaluru, Karnataka 560042, India",5
Statiq Charging Station,"Divyasree Chambers, 11, O Shaughnessy Rd, Akkithimana Halli, Lang, Bengaluru, Karnataka 560025, India",5
Porsche Destination Charging,"0, 24, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",4
GLIDA Charging Station,"16, Bazaar St, behind BSNL office, Halasuru, Someshwarpura, Ulsoor, Bengaluru, Karnataka 560008, India",5
Statiq Charging Station,"Infront of, Main Entrance Rd, Welcomhotel Be, Ashok Nagar, Bengaluru, Karnataka 560025, India",N/A
Statiq Charging Station,"ITC WINDSOR, Main Entrance of, Wi, Bengaluru, Karnataka 560052, India",1
Statiq Charging Station,"Basement Exit, Itc Gardenia, Near, 1, Residency Rd, Bengaluru, Karnataka 560025, India",N/A
BESCOM Charging Station,"XHGQ+99J, Nunegundlapalli, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India",3.7
Kazam Charging Station,"No. 12, 4/2, 1 Cross, Cross, JC Rd, Journalist Colony, Kalasipalya, Bengaluru, Karnataka 560002, India",5
Zeon Charging Station,"Radisson Bengaluru City Center, 2, Gangadhar Chetty Rd, Halasuru, Yellappa Chetty Layout, Ulsoor, Bengaluru, Karnataka 560042, India",4.1
Kazam Charging Station,"Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India",N/A
Charge Zone Charging Station,"UB City, JW Marriott Hotel, Vittal Mallya Rd, KG Halli, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",4.5
Kurrent Charging Station,"Embassy Icon, Infantry Rd, Cubbon Park, Vasanth Nagar, Bengaluru, Karnataka 560001, India",N/A
TruePower Charging Station,"1, Sobha Mall, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",3
Electric Vehicle Charging Station,"Kempegowda Maharaja Shopping Complex, Anchepet, Chickpet, Bengaluru, Karnataka 560009, India",3
ZappCharge Charging Station,"Prestige Trade Tower, Palace Rd, High Grounds, Majestic, Bengaluru, Karnataka 560001, India",3
Charge Zone Charging Station,"Hotel No 17 And 17, Renaissance, 1, Race Course Rd, Madhava Nagar, Gandhi Nagar, Bengaluru, Karnataka 560001, India",4
