Title,Address,Rating
REVOLT - ELECTRIC VEHICLES CHARGING STATION,"4/47, Aziz Mulk 1st St, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006, India",4.4
Zeon Charging Station,"Grand Chennai by GRT Hotels, 120, Sir Thyagaraya Rd, Drivers Colony, T. Nagar, Chennai, Tamil Nadu 600017, India",4.6
Moeving Charging Station,"108c, Grand Northern Trunk Rd, J Garden, Ponniammanmedu, Chennai, Tamil Nadu 600060, India",4.3
Tata Power Charging Station,"Lalah's Office Building, 554, TT Krishnamachari Rd, near Crowne Plaza, Austin Nagar, Alwarpet, Chennai, Tamil Nadu 600018, India",3
Kazam Charging Station,"736, Thiruvottiyur High Rd, Ashok Nagar, Tondiarpet, Chennai, Tamil Nadu 600081, India",2.5
Electric Vehicle Charging Station,"Dandhapani, 2nd St, Kotturpuram, Tamil Nadu 600085, India",5
Zeon Charging Station,"125 pantheon, Egmore, 125-349, Pantheon Rd, Ethiraj Salai, Egmore, Chennai, Tamil Nadu 600002, India",5
Electric Vehicle Charging Station,"37, Uthamar Gandhi Rd, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, India",3
Mahindra Charging Station,"Metro Station Anna Nagar East, Anna Nagar east metro car parking area,(near bus stop), Anna Nagar,, Chennai, Tamil Nadu, India",5
Hyundai Charging Station,"Spencer Plaza Mall, Anna Salai, Chennai, Tamil Nadu 600002, India",4.5
Bolt.Earth - Electric Vehicle Charging Station,"Red Hills Rd, Sri Nagar Colony, Vivek Nagar, Kolathur, Chennai, Tamil Nadu 600048, India",5
Electric Vehicle Charging Station,"Metro Car Parking, L Block, Kurinji Colony, Anna Nagar, Chennai, Tamil Nadu 600040, India",1
Kazam Charging Station,"3679+CMF, Veerapandi Nagar 1st St, Kamarajar Nagar, Kamaraj Nagar, Veerapandi Nagar, Choolaimedu, Chennai, Tamil Nadu 600094, India",1
Tata Power Charging Station,"61, Inner Ring Rd, 100 Feet Rd, Thiru Nagar Colony, NGO Colony, Vadapalani, Chennai, Tamil Nadu 600026, India",3
Tata Power Charging Station,"100, 48, Cathedral Rd, Gopalapuram, Chennai, Tamil Nadu 600086, India",2
Jio-bp pulse Charging Station,"No 183, Nexus Mall, Arcot Rd, Nexus Chennai Mall, Grand Southern Trunk Rd, Vadapalani, Tamil Nadu 600026, India",5
EV Charge Partners Charging Station,"DPI office, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600006, India",3.7
Ather Grid Charging Station,"Kumaran Silks, 12, Nageswaran Rao Rd, T. Nagar, Chennai, Tamil Nadu 600017, India",4.3
Bolt.Earth Charging Station,"No. 25, Balaabirami, Banking & E Sevai, JJ Complex, Gaingaiammaannagar, Natarajan Nagar, Anna Nagar West, Chennai, Tamil Nadu 600050, India",5
EESL Charging Station,"High Court Metro Station, Esplanade Rd, opp. to Kuralagam,कुरालागम, Parrys, George Town, Chennai, Tamil Nadu 600104, India",1
