Title,Address,Rating
Atum Charge - EV Charging Station | Secunderabad,"Visaka Towers, 1-8-303/69/3, Sardar Patel Rd, Begumpet, Secunderabad, Telangana 500003, India",4.9
Electric Vehicle Charging Station,"CF33+VH5, Ambedkar Nagar, Masab Tank, Hyderabad, Telangana 500000, India",3
Tata Power Charging Station,"1, Greenlands Rd, Nishat Bagh Colony, Somajiguda, Hyderabad, Telangana 500082, India",4.4
Charge And Drive Charging Station,"CFF5+7G9, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082, India",4
Charge And Drive Charging Station,"10-C, Malakunta Road, near Police Stadium, Chandhanwadi Colony, Goshamahal, Nampally, Hyderabad, Telangana 500012, India",3.4
EV DOCK Charging Station,"Bhaskar Plaza, 6-3-248/1/81A, Rd Number 1, Prem Nagar, Banjara Hills, Hyderabad, Telangana 500034, India",3.8
Charge Zone Charging Station,"Courtyard Hyderabad, 1-3-1024, Lower Tank Bund Rd, Bhagyalaxmi Nagar, Kavadiguda, Hyderabad, Telangana 500080, India",5
Fortum Charging Station,"CG25+VPJ, Osmania University Rd, Ram Nagar Gundu, Adikmet, Hyderabad, Telangana 500044, India",1
Charge Zone Charging Station,"Hyderabad Marriott Hotel, Tank Bund Rd, opp. Hussain Sagar, Bhagyalaxmi Nagar, Khairtabad, Hyderabad, Telangana 500080, India",5
Ather Grid Charging Station,"Vidya Nagar, Adikmet, Hyderabad, Telangana 500044, India",4.1
Electric Fuel Charging Station,"Tirumala Chambers, 1-8-303/48/9, PG Road, Sindhi Colony, Begumpet, Hyderabad, Telangana 500016, India",5
Charge And Drive Charging Station,"CFQ4+8WQ, Begumpet Flyover, Uma Nagar, Begumpet, Hyderabad, Telangana 500016, India",4.1
GLIDA Charging Station,"CFQ4+7WR, IOC Begumpet, Uma Nagar, Begumpet, Hyderabad, Telangana 500001, India",5
Bolt.Earth Charging Station,"No. 3-5-146, Sri Vijayalaxmi Motors, Opp:Prince Cafe, X Road, Vittalwadi, Narayanguda, Hyderabad, Telangana 500029, India",5
Jio-bp Charging Station,"L1 4A, 4B, 37, Lgf, L&T Mall, Irram Manzil Colony, Punjagutta, Hyderabad, Telangana 500082, India",5
Reliable Charge Charging Station,"Ground Floor, G.S. Centre Point, Central Mall, Circle, Durga Nagar Colony, Somajiguda, Hyderabad, Telangana 500082, India",5
Bolt.Earth - Electric Vehicle Charging Station,"Rudraksh Electric Vehicles, Panchavati Mall Complex Narayanguda, Himayatnagar, Hyderabad, Telangana 500029, India",3.7
Sangeetha Mobiles Charging Station,"CF2P+9R4, AP State Housing Board, Himayatnagar, Hyderabad, Telangana 500029, India",1
Tata Power Charging Station,"9-1-109/1B, Regimental Bazaar, Shivaji Nagar, Hyderabad, Secunderabad, Telangana 500003, India",5
Electric Vehicle Charging Station,"BAGGAS EV CHARGE PORT, THE EV MALL METRO PILLAR NO B, 950, St Marys Rd, Secunderabad, Telangana 500003, India",5
