Title,Address,Rating
Ather Grid Charging Station,"Singhji's Restaurant, 1644, Rajdanga Main Road, near RUBY GENERAL HOSPITAL, Sarat Park, Block-GF2, Rajdanga, Kasba, Kolkata, West Bengal 700107, India",3.9
EVRE Charging Station,"G8P4+8MW, GD Sick Lane, Khidirpur, Tikiapara, Garden Reach, Kolkata, West Bengal 700043, India",5
Tata Power Charging Station,"HCF2+PWM, Kadapara, Phool Bagan, Kankurgachi, Kolkata, West Bengal 700054, India",1
EVRE Charging Station,"Rajendra Kumar Modi, C/O, Chetal Road, New Alipore, Kolkata, West Bengal 700053, India",5
CESC Charging Station,"2, Park Row Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017, India",3
Statiq Charging Station,"G9WX+668, Left hand side of lower lobby, main porch area, Kolkata, West Bengal 700046, India",N/A
Tata Power Charging Station,"Dutta Bagan, 63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037, India",3.8
Tata Power Charging Station,"43, Jawaharlal Nehru Rd, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071, India",4.3
Electric Vehicle Charging Station,"135, Upper Foreshore Rd, RdRam Krishnapore, Choura Bustee, Shibpur, Kolkata, Howrah, West Bengal 711102, India",4.8
Kazam Ev Tech Pvt Ltd (test) Charging Station,"7, Subhas Sarobar Park, Phool Bagan, Beleghata, Kolkata, West Bengal 700010, India",N/A
Electric Vehicle Charging Station,"SHILPOSHRI FILLING STATION, at 19/2A, Alipore Rd, Alipore, Kolkata, West Bengal 700027, India",5
Terra Charge Bluwheelz,"4A, Pagla Danga Rd, 1ST LANE, Tangra, Kolkata, West Bengal 700015, India",N/A
Ather Grid Charging Station,"2/1A, Raja Kali Krishna Ln, Raja Nabakrishna Street Cafe coffee day, Hati bagan, Kolkata Sovabazar, Hati Bagan, Shyam Bazar, Kolkata, West Bengal 700005, India",4.5
BPCL Charging Station,"G983+H4M, KONCHOWKI, Baidyabati, Kolkata, West Bengal 743503, India",N/A
Ather Grid Charging Station,"396, GRAND TANK ROAD, SOUTH, Kazipara Ln, Block-B, Howrah, Kolkata, West Bengal 711103, India",3.7
Electric Vehicle Charging Station,"P54, Hide Rd, Tikiapara, Garden Reach, Kolkata, West Bengal 700043, India",N/A
Electric Vehicle Charging Station,"1, Chittaranjan Ave, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700072, India",2
Ather Grid Charging Station,"7MJCGCP2+RHX7, Auropota, Ward Number 58, Kolkata, West Bengal 700105, India",3
Terra Charge PS Group Anassa,"992, Eastern Metropolitan Bypass, East Kolkata Twp, Kolkata, West Bengal 700105, India",5
Log9 Charging Station,"H95V+3C5, Tangra, Kolkata, West Bengal 700010, India",N/A
