Title,Address,Rating
Electric Vehicle Charging Station,"Chhatrapati Shivaji Maharaj International Airport Mumbai, P1, MLCP, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099, India",4.4
EV Dock Charging Station,"CTS No. 145 A, NS C-04, Skycity, Chhatrapati Shivaji Maharaj Int'l Airport Rd, near Mumbai International Airport, AAI Colony, J B Nagar, Andheri East, Mumbai, Maharashtra 400099, India",4.5
Hyundai Charging Station,"G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",4.5
Tata Power Charging Station,"2VXH+29M, Anik Depot, Municipal Kamgar Vasahat, Trombay Indusrial Area, Chembur, Mumbai, Maharashtra 400022, India",4.5
ChargeGrid Charging Station,"3V76+V8Q, HPCL Auto Care Centre, opp. ICICI Bank, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",5
Electric Vehicle Charging Station,"183/184, Parag Building, 11th Road On, Madhu Park, opposite Ghanteshwar Mandir, Khar West, Mumbai, Maharashtra 400022, India",4
EV DOCK Charging Station,"SATELLITE SILVER, 14b, Andheri - Kurla Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India",5
GLIDA Charging Station,"Basement, CTS No. 1754, 1754/1, to, VN Purav Marg, Diamond Garden, Basant Garden, Chembur, Mumbai, Maharashtra 400071, India",N/A
Jio-bp pulse Charging Station,"Acme Mall, Swami Vivekananda Rd, Rizvi Nagar, Khira Nagar, Santacruz (West), Mumbai, Maharashtra 400054, India",N/A
Statiq Charging Station,"Itc Maratha, Left Main Porch area from main entrance, Mumbai, Maharashtra 400059, India",N/A
EV-novator Charging Station,"Metro Estate, 178, CST Road, Kolivery Village, MMRDA Area, Kalina, Santacruz East, Mumbai, Maharashtra 400098, India",N/A
GLIDA charging station,"Asher Titan Residential, Vallabh Baug Ln, Neelkanth Chhaya Co-op Housing Society, Mhada Colony, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077, India",1
EV-COSMOS Charging Station,"Hotel VITS Andheri Kurla Road, Sahar Airport Rd, Zone, Andheri East, Mumbai, Maharashtra 400059, India",5
Synergy Charging Station,"3VJQ+VC3, Amar Nagar, Nav Pada, Kurla, Mumbai, Maharashtra 400070, India",N/A
EV Charging Station Dealership,"9th floor, C59, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",N/A
Statiq Charging Station,"4V4C+6QG, Chhatrapati Shivaji Maharaj Int'l Airport Rd, Greater Indra Nagar, Andheri East, Mumbai, Maharashtra 400099, India",N/A
Kazam EV Tech Pvt. Ltd. Charging Station,"3WF3+R6G, Ghatkopar - Mahul Rd, Vidyanagar, Nath Pai Nagar, Ghatkopar East, Mumbai, Maharashtra 400077, India",N/A
Greenshift Charging Station,"3V89+GCF, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",N/A
Electric Vehicle Charging Station,"Entrance gate 3, Phoenix Market City, Lal Bahadur Shastri Marg, Kurla West, Mumbai, Maharashtra, India",3.8
Tata Power Charging Station,"B-6, Cross Road B J B Nagar, Bhim Nagar, Andheri East, Mumbai, Maharashtra 400069, India",4.2
