Title,Address,Rating
EV Dock Charging Station,"City Center, 15 & 15A, Connaught Rd, near Lemon Tree Primer Hotel, Modi Colony, Pune, Maharashtra 411001, India",3.4
Electric Vehicle Charging Station,"431, 112, Shukrawar Peth - Mahatma Gandhi Rd, Budhwar Peth, Dadawadi, Shukrawar Peth, Pune, Maharashtra 411002, India",3
Bijlify Charging Station,"GV24+WJ3, Dadawadi, Shukrawar Peth, Pune, Maharashtra 411042, India",1
Nikol Charging Station,"GVRQ+45R, N Main Rd, Vaswani Nagar, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",5
Bijlify Charging Station,"FVQ5+J6M, Adinath Society, Arihant Society, Maharshi Nagar, Pune, Maharashtra 411037, India",2
Bijlify Charging Station,"GR26+WQ8, DP Rd, near Ghar Sansar, Bhelkenagar, Kothrud, Pune, Maharashtra 411058, India",1
Bijlify Charging Station,"4, Jangali Maharaj Rd, Shivajinagar, Pune, Maharashtra 411005, India",5
Bijlify Charging Station,"Jain, 984/1, Shrimant Thorale Bajirao, Rd, Dadawadi, Swargate, Peshwe, Pune, Maharashtra 411009, India",5
Bijlify Charging Station,"1, Congress House Rd, Shivajinagar, Pune, Maharashtra 411005, India",5
Bijlify Charging Station,"416/1, Mukund Nagar, Pune, Maharashtra 411037, India",N/A
Bijlify Charging Station,"Peshwe Energy Park, 9, Sane Guruji Rasta, Saras Baug, Municipal Colony, Pune, Maharashtra 411030, India",5
Electric Vehicle Charging Station,"GV25+J67, Subhash Nagar, Shukrawar Peth, Pune, Maharashtra 411002, India",3.8
Elect Fuel Charging Station,"GW94+WHQ, None Maharashtra IN, Pune, India",N/A
Bijlify Charging Station,"GRFW+Q65, Jawaharlal Nehru Samskritik Bhavan, Ghole Rd, Sumukh Society, Shivajinagar, Pune, Maharashtra 411005, India",N/A
Electric Vehicle Charging Station,"GVRJ+5X5, Bund Garden, Sangamvadi, Pune, Maharashtra 411001, India",1.8
Kazam Charging Station,"87, Jogeshwari Ln, Tulshibaug, Budhwar Peth, Pune, Maharashtra 411030, India",2
Kazam Charging Station,"GRJH+5GW, Senapati Bapat Rd, Shivaji Co operative Housing Society, Bhageerath, Gokhalenagar, Pune, Maharashtra 411016, India",5
Electric Vehicle Charging Station,"Sadguru Shri, 593/3, Jangali Maharaj Rd, Poolachiwadi, Deccan Gymkhana, Pune, Maharashtra 411004, India",N/A
Bijlify Charging Station,"576/2, NH 753F, Shivajinagar, Pune, Maharashtra 411004, India",1
Ev Charging Station,"FVXX+4X2, Vitthal Rao Shivarkar Rd, Wanawadi Gaon, Wanwadi, Pune, Maharashtra 411040, India",4
